Kundennummer,ABC_Klasse,Kennzeichen_Neukunde
101567,-,Ja
101568,-,Ja
101569,-,Ja
101570,C,Ja
101571,C,Nein
101572,-,Ja
101573,-,Ja
101574,-,Ja
101575,-,Ja
101576,-,Ja
101577,-,Ja
101578,-,Ja
101579,C,Ja
101580,-,Ja
101581,-,Ja
101582,-,Ja
101583,-,Ja
101584,-,Ja
101585,C,Nein
101586,C,Ja
101587,-,Ja
101588,-,Ja
101589,C,Ja
101590,-,Ja
101591,-,Ja
101592,B,Nein
101593,-,Ja
101594,-,Ja
101595,-,Ja
101596,C,Ja
101597,C,Ja
101598,-,Ja
101599,-,Ja
101600,C,Nein
101601,-,Ja
101602,-,Ja
101603,-,Ja
101604,C,Ja
101605,C,Nein
101606,C,Nein
101607,-,Ja
101608,B,Nein
101609,C,Ja
101610,C,Ja
101611,-,Ja
101612,-,Ja
101613,C,Ja
101614,-,Ja
101615,C,Ja
101616,-,Ja
101617,-,Ja
101618,-,Ja
101619,C,Ja
101620,-,Ja
101621,C,Ja
101622,-,Ja
101623,C,Ja
101624,C,Ja
101625,-,Ja
101626,C,Nein
101627,-,Ja
101628,C,Ja
101629,-,Ja
101630,C,Ja
101631,-,Ja
101632,C,Ja
101633,-,Ja
101634,-,Ja
101635,-,Ja
101636,-,Ja
101637,C,Ja
101638,-,Ja
101639,-,Ja
101640,-,Ja
101641,C,Ja
101642,C,Ja
101643,-,Ja
101644,-,Ja
101645,C,Nein
101646,C,Ja
101647,-,Ja
101648,-,Ja
101649,C,Ja
101650,-,Ja
101651,-,Ja
101652,C,Ja
101653,-,Ja
101654,C,Ja
101655,-,Ja
101656,-,Ja
101657,-,Ja
101658,-,Ja
101659,-,Ja
101660,-,Ja
101661,-,Ja
101662,C,Ja
101663,C,Ja
101664,C,Nein
101665,-,Ja
101666,-,Ja
101667,B,Ja
101668,-,Ja
101669,-,Ja
101670,B,Nein
101671,C,Ja
101672,C,Ja
101673,A,Nein
101674,-,Ja
101675,-,Ja
101676,B,Ja
101677,B,Ja
101678,C,Ja
101679,-,Ja
101680,-,Ja
101681,C,Ja
101682,C,Ja
101683,-,Ja
101684,C,Ja
101685,-,Ja
101686,A,Nein
101687,C,Nein
101688,-,Ja
101689,-,Ja
101690,-,Ja
101691,-,Ja
101692,C,Ja
101693,-,Ja
101694,-,Ja
101696,-,Ja
101699,-,Ja
101701,-,Ja
101704,-,Ja
101707,-,Ja
101711,-,Ja
101712,-,Ja
101713,C,Nein
101719,-,Ja
101723,C,Ja
101727,-,Ja
101734,C,Ja
101737,-,Ja
101738,-,Ja
101744,-,Ja
101746,B,Nein
101747,-,Ja
101748,-,Ja
101749,-,Ja
101753,-,Ja
101755,C,Ja
101760,-,Ja
101762,-,Ja
101764,-,Ja
101766,C,Ja
101767,-,Ja
101768,-,Ja
101769,-,Ja
101770,-,Ja
101776,-,Ja
101778,-,Ja
101781,-,Ja
101783,C,Ja
101786,-,Ja
101787,C,Ja
101788,-,Ja
101789,-,Ja
101792,-,Ja
101793,C,Ja
101800,-,Ja
101804,-,Ja
101805,-,Ja
101810,-,Ja
101813,-,Ja
101815,-,Ja
101818,-,Ja
101819,-,Ja
101822,-,Ja
101823,-,Ja
101824,-,Ja
101826,-,Ja
101827,-,Ja
101830,-,Ja
101831,-,Ja
101832,C,Ja
101833,B,Nein
101834,C,Ja
101842,-,Ja
101843,-,Ja
101844,-,Ja
101845,-,Ja
101847,-,Ja
101848,-,Ja
101850,-,Ja
101851,-,Ja
101853,-,Ja
101854,B,Nein
101855,-,Ja
101856,-,Ja
101857,-,Ja
101858,-,Ja
101862,-,Ja
101863,-,Ja
101864,C,Nein
101865,-,Ja
101866,-,Ja
101871,C,Nein
101873,-,Ja
101874,-,Ja
101876,C,Ja
101878,C,Ja
101879,-,Ja
101880,-,Ja
101881,-,Ja
101882,-,Ja
101883,-,Ja
101884,-,Ja
101888,A,Ja
101889,-,Ja
101890,-,Ja
101895,C,Ja
101896,C,Ja
101897,C,Ja
101898,C,Nein
101899,-,Ja
101900,-,Ja
101901,C,Ja
101904,-,Ja
101905,-,Ja
101906,-,Ja
101907,-,Ja
101908,-,Ja
101909,-,Ja
101910,-,Ja
101911,C,Nein
101914,C,Nein
101915,-,Ja
101916,A,Nein
101917,-,Ja
101919,-,Ja
101920,-,Ja
101921,A,Ja
101924,C,Ja
101925,-,Ja
101928,-,Ja
101930,-,Ja
101931,C,Ja
101933,C,Ja
101935,C,Nein
101938,C,Nein
101939,C,Ja
101944,-,Ja
101945,B,Nein
101946,-,Ja
101947,C,Ja
101949,C,Ja
101952,-,Ja
101953,B,Nein
101954,-,Ja
101956,-,Ja
101958,-,Ja
101959,-,Ja
101961,C,Nein
101962,C,Nein
101963,A,Ja
101965,C,Nein
101967,A,Ja
101972,-,Ja
101974,-,Ja
101975,C,Nein
101976,B,Nein
101977,C,Ja
101979,-,Ja
101981,-,Ja
101984,C,Ja
101986,-,Ja
101987,-,Ja
101990,-,Ja
101992,-,Ja
101993,C,Nein
101994,-,Ja
101996,-,Ja
101997,-,Ja
101999,C,Nein
102000,-,Ja
102002,-,Ja
102006,-,Ja
102007,-,Ja
102008,C,Ja
102009,C,Ja
102011,A,Ja
102012,-,Ja
102013,C,Ja
102014,-,Ja
102015,-,Ja
102016,A,Ja
102017,-,Ja
102018,A,Ja
102021,C,Ja
102023,-,Ja
102026,B,Nein
102028,C,Ja
102029,B,Ja
102031,C,Ja
102032,C,Ja
102034,C,Ja
102036,-,Ja
102037,-,Ja
102038,B,Nein
102040,C,Ja
102042,-,Ja
102043,C,Ja
102048,B,Ja
102050,B,Ja
102051,B,Ja
102052,C,Ja
102053,B,Nein
102054,C,Ja
102055,C,Ja
102056,B,Ja
102058,C,Nein
102060,C,Ja
102063,A,Ja
102066,-,Ja
102068,C,Ja
102069,-,Ja
102071,-,Ja
102072,A,Ja
102073,-,Ja
102074,C,Ja
102075,-,Ja
102076,-,Ja
102077,-,Ja
102078,-,Ja
102081,-,Ja
102082,B,Ja
102083,B,Ja
102084,B,Ja
102086,C,Ja
102087,B,Ja
102088,-,Ja
102089,-,Ja
102090,C,Ja
102091,B,Nein
102092,C,Ja
102093,B,Nein
102094,C,Ja
102095,B,Nein
102096,-,Ja
102097,-,Ja
102099,-,Ja
102101,C,Ja
102102,-,Ja
102106,-,Ja
102108,C,Nein
102109,C,Ja
102110,B,Ja
102111,C,Nein
102112,A,Ja
102114,B,Ja
102117,B,Ja
102118,C,Nein
102120,A,Ja
102121,A,Ja
102125,B,Nein
102126,A,Ja
102127,B,Ja
102128,C,Ja
102129,C,Ja
102130,-,Ja
102132,C,Nein
102133,C,Ja
102134,A,Nein
102135,C,Nein
102136,-,Ja
102137,C,Ja
102139,C,Ja
102140,-,Ja
102141,-,Ja
102142,C,Ja
102143,-,Ja
102146,C,Ja
102147,C,Nein
102148,C,Nein
102149,B,Ja
102150,C,Ja
102151,A,Ja
102152,A,Ja
102153,C,Ja
102155,B,Ja
102156,B,Ja
102157,C,Ja
102158,B,Ja
102159,B,Ja
102160,B,Ja
102161,B,Ja
102163,C,Ja
102164,B,Ja
102165,C,Ja
102166,B,Ja
102169,C,Ja
102170,-,Ja
102171,C,Ja
102172,B,Ja
102173,B,Ja
102174,C,Ja
102179,C,Ja
102180,C,Ja
102181,C,Ja
102183,C,Nein
102184,C,Ja
102185,C,Nein
102190,-,Ja
102193,C,Nein
102194,C,Ja
102195,-,Ja
102196,B,Nein
102198,C,Nein
102199,B,Ja
102200,-,Ja
102201,A,Nein
102202,B,Nein
102203,C,Ja
102204,C,Ja
102206,-,Ja
102207,A,Nein
102208,-,Ja
102209,C,Nein
102210,-,Ja
102211,-,Ja
102213,C,Ja
102214,A,Nein
102215,C,Ja
102218,-,Ja
102219,-,Ja
102220,C,Ja
102223,-,Ja
102224,-,Ja
102225,C,Ja
102227,-,Ja
102228,-,Ja
102229,C,Ja
102230,-,Ja
102231,B,Ja
102233,C,Ja
102236,C,Ja
102237,-,Ja
102238,C,Ja
102239,C,Ja
102241,B,Nein
102244,-,Ja
102245,C,Nein
102247,C,Ja
102249,-,Ja
102250,-,Ja
102251,A,Ja
102252,C,Nein
102253,A,Nein
102254,-,Ja
102258,A,Ja
102259,C,Ja
102260,C,Ja
102261,A,Nein
102262,-,Ja
102263,A,Nein
102265,C,Nein
102266,-,Ja
102267,-,Ja
102268,C,Ja
102269,-,Ja
102271,A,Ja
102272,C,Ja
102274,C,Ja
102276,C,Ja
102279,C,Ja
102280,-,Ja
102281,C,Ja
102282,-,Ja
102283,C,Nein
102285,C,Ja
102288,C,Ja
102289,A,Ja
102290,C,Ja
102291,A,Ja
102292,C,Ja
102295,A,Ja
102296,C,Ja
102297,C,Ja
102298,C,Ja
102300,-,Ja
102303,A,Ja
102304,A,Ja
102306,C,Ja
102309,C,Ja
102310,C,Ja
102311,B,Nein
102313,-,Ja
102314,C,Ja
102318,C,Ja
102319,C,Ja
102321,C,Ja
102322,C,Ja
102323,C,Ja
102325,C,Ja
102326,C,Ja
102327,C,Ja
102328,C,Ja
102329,C,Ja
102331,C,Ja
102332,C,Ja
102334,C,Ja
102335,C,Ja
102336,C,Nein
102337,C,Ja
102339,C,Ja
102340,C,Ja
102341,C,Ja
102342,C,Nein
102343,C,Ja
102344,C,Ja
102345,C,Ja
102346,C,Ja
102347,C,Ja
102348,B,Nein
102349,C,Ja
102350,C,Ja
102351,C,Ja
102353,C,Nein
102354,C,Ja
102355,C,Ja
102356,C,Ja
102357,C,Ja
102358,C,Ja
102360,C,Ja
102361,C,Ja
102362,C,Ja
102364,C,Ja
102366,-,Ja
102367,C,Ja
102368,-,Ja
102369,C,Ja
102372,C,Ja
102373,-,Ja
102375,C,Nein
102377,C,Ja
102378,C,Ja
102379,-,Ja
102380,-,Ja
102381,C,Ja
102382,C,Ja
102384,C,Ja
102385,C,Ja
102386,C,Ja
102388,-,Ja
102390,-,Ja
102391,-,Ja
102393,C,Ja
102394,-,Ja
102396,-,Ja
102397,-,Ja
102398,-,Ja
102400,C,Ja
102401,C,Nein
102403,C,Ja
102404,C,Ja
102405,C,Ja
102406,B,Nein
102408,C,Ja
102409,B,Nein
102410,-,Ja
102412,B,Ja
102415,B,Nein
102418,-,Ja
102419,-,Ja
102422,C,Ja
102424,-,Ja
102425,-,Ja
102426,C,Ja
102428,-,Ja
102429,B,Nein
102430,C,Ja
102431,B,Ja
102432,B,Ja
102433,C,Ja
102437,C,Nein
102442,A,Ja
102444,C,Ja
102445,C,Ja
102447,C,Ja
102448,C,Ja
102449,C,Ja
102450,-,Ja
102453,C,Nein
102455,C,Ja
102456,C,Ja
102457,C,Ja
102458,A,Ja
102459,C,Ja
102461,C,Nein
102462,B,Nein
102463,C,Ja
102464,-,Ja
102465,C,Ja
102466,-,Ja
102467,C,Ja
102468,-,Ja
102469,A,Ja
102470,C,Nein
102471,C,Nein
102472,-,Ja
102473,C,Ja
102474,C,Nein
102475,-,Ja
102476,C,Ja
102477,C,Ja
102478,C,Ja
102479,C,Ja
102482,B,Nein
102483,C,Ja
102484,B,Ja
102485,C,Ja
102486,C,Ja
102488,C,Ja
102491,-,Ja
102492,-,Ja
102493,B,Nein
102494,-,Ja
102497,-,Ja
102498,-,Ja
102499,C,Ja
102501,C,Ja
102502,-,Ja
102503,C,Ja
102504,C,Ja
102505,C,Ja
102506,C,Ja
102507,B,Nein
102510,-,Ja
102511,-,Ja
102514,-,Ja
102515,-,Ja
102517,-,Ja
102518,-,Ja
102519,C,Ja
102520,C,Ja
102521,-,Ja
102522,C,Nein
102523,C,Ja
102525,-,Ja
102526,C,Ja
102527,C,Ja
102528,C,Ja
102529,-,Ja
102530,C,Ja
102531,C,Ja
102532,-,Ja
102535,C,Ja
102536,-,Ja
102537,C,Ja
102538,C,Ja
102540,-,Ja
102541,A,Nein
102542,C,Ja
102543,C,Ja
102544,C,Ja
102545,-,Ja
102546,C,Nein
102547,C,Ja
102548,-,Ja
102549,A,Ja
102550,C,Ja
102551,C,Ja
102552,C,Ja
102553,-,Ja
102554,-,Ja
102556,-,Ja
102557,C,Ja
102558,C,Nein
102561,-,Ja
102562,B,Nein
102563,C,Ja
102564,C,Ja
102565,C,Ja
102566,C,Nein
102569,-,Ja
102570,-,Ja
102571,C,Ja
102572,C,Nein
102573,-,Ja
102575,C,Nein
102577,C,Ja
102578,-,Ja
102579,C,Ja
102580,C,Ja
102582,C,Ja
102583,C,Ja
102585,-,Ja
102586,-,Ja
102587,-,Ja
102588,C,Ja
102589,C,Ja
102590,C,Ja
102591,C,Ja
102592,C,Ja
102598,C,Ja
102599,C,Ja
102601,C,Ja
102602,-,Ja
102604,-,Ja
102606,-,Ja
102609,-,Ja
102611,C,Nein
102612,-,Ja
102613,-,Ja
102614,-,Ja
102615,-,Ja
102616,-,Ja
102617,-,Ja
102618,C,Nein
102619,-,Ja
102621,C,Ja
102622,C,Ja
102623,C,Ja
102624,C,Ja
102625,C,Ja
102627,C,Ja
102628,C,Ja
102629,C,Ja
102630,C,Ja
102631,-,Ja
102632,C,Ja
102633,C,Ja
102634,-,Ja
102635,C,Ja
102636,-,Ja
102637,C,Ja
102638,B,Ja
102641,C,Nein
102642,B,Ja
102643,A,Ja
102644,-,Ja
102645,-,Ja
102646,C,Nein
102647,C,Ja
102649,C,Nein
102650,-,Ja
102651,-,Ja
102653,-,Ja
102654,C,Ja
102657,B,Ja
102659,B,Nein
102660,-,Ja
102663,C,Ja
102667,-,Ja
102671,C,Ja
102672,-,Ja
102674,C,Ja
102676,-,Ja
102677,-,Ja
102678,C,Ja
102680,B,Nein
102683,C,Ja
102685,C,Ja
102687,-,Ja
102688,C,Ja
102689,-,Ja
102690,-,Ja
102693,C,Ja
102695,B,Nein
102696,A,Ja
102699,-,Ja
102700,B,Nein
102701,C,Nein
102702,-,Ja
102705,-,Ja
102706,-,Ja
102707,-,Ja
102708,C,Nein
102709,-,Ja
102710,-,Ja
102711,-,Ja
102712,C,Ja
102713,-,Ja
102714,A,Ja
102715,-,Ja
102716,-,Ja
102717,C,Ja
102718,-,Ja
102720,A,Ja
102721,-,Ja
102722,-,Ja
102723,C,Ja
102725,B,Nein
102726,C,Ja
102727,C,Ja
102728,C,Ja
102729,C,Ja
102731,C,Ja
102733,B,Nein
102734,B,Ja
102736,C,Ja
102737,-,Ja
102738,B,Nein
102740,-,Ja
102742,-,Ja
102744,-,Ja
102745,C,Ja
102746,C,Nein
102747,-,Ja
102748,B,Ja
102749,-,Ja
102750,C,Ja
102753,-,Ja
102754,C,Ja
102755,C,Ja
102756,-,Ja
102757,-,Ja
102759,C,Ja
102760,B,Nein
102761,A,Ja
102762,C,Ja
102763,-,Ja
102764,A,Nein
102765,C,Ja
102766,A,Nein
102770,A,Nein
102771,C,Ja
102772,A,Nein
102773,C,Nein
102774,C,Ja
102776,B,Nein
102777,-,Ja
102778,-,Ja
102779,-,Ja
102780,-,Ja
102782,-,Ja
102783,-,Ja
102784,-,Ja
102785,B,Ja
102786,-,Ja
102787,C,Ja
102788,-,Ja
102789,C,Ja
102790,-,Ja
102791,-,Ja
102792,-,Ja
102793,A,Ja
102794,A,Ja
102795,B,Nein
102796,C,Ja
102797,B,Nein
102798,C,Nein
102799,-,Ja
102800,A,Nein
102801,C,Ja
102802,-,Ja
102803,C,Ja
102804,B,Nein
102805,C,Nein
102806,-,Ja
102808,A,Nein
102809,B,Nein
102810,C,Ja
102811,-,Ja
102813,C,Ja
102814,C,Ja
102819,A,Nein
102820,C,Ja
102822,C,Nein
102824,-,Ja
102825,-,Ja
102826,C,Ja
102827,-,Ja
102828,-,Ja
102829,A,Nein
102830,-,Ja
102832,-,Ja
102833,C,Ja
102835,-,Ja
102836,B,Nein
102837,C,Nein
102839,-,Ja
102840,C,Ja
102842,C,Ja
102843,B,Nein
102845,A,Ja
102846,C,Ja
102847,-,Ja
102848,C,Ja
102849,C,Nein
102850,A,Ja
102851,-,Ja
102852,C,Ja
102853,-,Ja
102854,A,Nein
102855,-,Ja
102856,B,Nein
102857,-,Ja
102859,-,Ja
102860,B,Nein
102861,C,Nein
102862,B,Nein
102863,A,Nein
102865,B,Nein
102868,C,Ja
102870,-,Ja
102871,A,Nein
102872,A,Ja
102873,C,Ja
102874,B,Nein
102877,-,Ja
102878,A,Nein
102879,-,Ja
102880,B,Nein
102881,A,Nein
102882,-,Ja
102883,C,Ja
102884,C,Nein
102885,-,Ja
102886,C,Ja
102887,B,Ja
102888,-,Ja
102889,C,Nein
102890,B,Nein
102891,C,Nein
102892,-,Ja
102893,B,Nein
102894,-,Ja
102895,B,Nein
102899,C,Nein
102900,-,Ja
102901,B,Nein
102902,B,Nein
102903,A,Nein
102904,C,Nein
102905,C,Ja
102906,-,Ja
102907,C,Nein
102908,C,Ja
102909,C,Nein
102910,B,Nein
102911,-,Ja
102912,C,Ja
102913,C,Ja
102914,B,Nein
102915,C,Ja
102916,-,Ja
102917,A,Nein
102918,-,Ja
102919,B,Nein
102920,A,Nein
102922,B,Nein
102923,B,Nein
102924,B,Nein
102925,C,Ja
102927,A,Nein
102928,B,Ja
102930,-,Ja
102931,B,Nein
102932,B,Nein
102933,-,Ja
102934,C,Ja
102936,C,Ja
102938,A,Ja
102939,A,Ja
102940,C,Nein
102941,A,Ja
102942,C,Ja
102943,A,Ja
102944,A,Ja
102945,-,Ja
102946,C,Ja
102948,-,Ja
102950,-,Ja
102951,A,Nein
102953,B,Nein
102954,C,Nein
102955,C,Ja
102956,-,Ja
102958,C,Ja
102959,-,Ja
102961,B,Nein
102963,B,Nein
102964,C,Nein
102965,B,Ja
102966,C,Ja
102968,C,Ja
102970,C,Ja
102971,-,Ja
102973,B,Ja
102974,C,Ja
102977,C,Nein
102978,B,Ja
102979,C,Ja
102980,A,Ja
102982,C,Nein
102985,-,Ja
102986,-,Ja
102987,C,Ja
102988,C,Ja
102989,C,Ja
102991,A,Ja
102992,-,Ja
102993,-,Ja
102994,-,Ja
102995,-,Ja
102997,-,Ja
102998,C,Ja
102999,A,Ja
103000,B,Nein
103001,B,Nein
103002,C,Ja
103003,B,Nein
103005,B,Nein
103006,-,Ja
103007,A,Nein
103008,-,Ja
103009,A,Nein
103010,C,Ja
103011,C,Ja
103013,A,Nein
103014,-,Ja
103015,A,Ja
103016,-,Ja
103017,-,Ja
103018,-,Ja
103019,C,Ja
103020,A,Nein
103021,C,Ja
103023,B,Nein
103024,C,Nein
103026,A,Ja
103027,C,Ja
103028,-,Ja
103029,-,Ja
103030,-,Ja
103031,A,Nein
103032,-,Ja
103033,C,Nein
103034,B,Nein
103035,-,Ja
103037,C,Ja
103038,C,Ja
103039,-,Ja
103042,-,Ja
103043,-,Ja
103044,-,Ja
103045,C,Nein
103046,C,Ja
103047,C,Ja
103049,B,Nein
103050,A,Ja
103051,-,Ja
103052,B,Nein
103053,-,Ja
103055,-,Ja
103056,C,Ja
103057,-,Ja
103058,-,Ja
103059,B,Ja
103060,C,Ja
103061,B,Nein
103062,-,Ja
103063,C,Ja
103068,B,Nein
103069,A,Ja
103070,-,Ja
103072,C,Ja
103073,A,Nein
103074,A,Nein
103075,B,Nein
103076,-,Ja
103077,-,Ja
103078,A,Ja
103079,B,Nein
103080,B,Nein
103081,-,Ja
103082,C,Ja
103083,-,Ja
103084,-,Ja
103086,-,Ja
103088,-,Ja
103089,C,Nein
103090,A,Ja
103091,C,Nein
103092,C,Ja
103093,A,Nein
103094,C,Ja
103095,A,Ja
103096,A,Nein
103097,B,Ja
103099,B,Nein
103100,B,Ja
103101,-,Ja
103103,C,Ja
103104,-,Ja
103105,-,Ja
103106,C,Nein
103107,C,Nein
103108,-,Ja
103112,B,Nein
103114,C,Ja
103115,-,Ja
103116,-,Ja
103117,C,Ja
103120,-,Ja
103121,C,Ja
103122,B,Nein
103123,-,Ja
103124,C,Ja
103125,-,Ja
103126,-,Ja
103127,A,Nein
103128,-,Ja
103129,B,Ja
103130,B,Ja
103132,-,Ja
103133,B,Ja
103134,C,Ja
103135,-,Ja
103136,C,Ja
103137,-,Ja
103138,B,Nein
103139,C,Ja
103140,B,Nein
103141,B,Nein
103142,B,Ja
103143,-,Ja
103144,-,Ja
103145,C,Nein
103146,A,Nein
103147,-,Ja
103148,A,Nein
103149,B,Nein
103150,B,Nein
103152,C,Nein
103153,C,Ja
103154,C,Nein
103155,A,Nein
103156,-,Ja
103157,C,Ja
103158,B,Nein
103159,C,Ja
103160,C,Nein
103161,-,Ja
103163,A,Nein
103165,C,Nein
103166,C,Nein
103167,C,Ja
103168,C,Ja
103169,C,Ja
103170,C,Ja
103171,C,Ja
103172,A,Nein
103173,B,Ja
103174,C,Ja
103175,-,Ja
103177,C,Ja
103178,C,Ja
103179,A,Nein
103180,C,Ja
103181,C,Ja
103182,C,Ja
103183,-,Ja
103184,-,Ja
103185,B,Nein
103186,C,Ja
103187,B,Nein
103188,B,Nein
103189,C,Ja
103190,C,Nein
103191,B,Ja
103192,C,Ja
103193,C,Ja
103194,-,Ja
103195,A,Nein
103196,-,Ja
103197,-,Ja
103198,-,Ja
103199,B,Ja
103200,-,Ja
103201,C,Ja
103202,-,Ja
103203,C,Ja
103204,B,Nein
103205,C,Nein
103206,C,Ja
103207,-,Ja
103208,B,Nein
103209,C,Ja
103210,C,Ja
103211,-,Ja
103212,C,Nein
103213,C,Ja
103214,A,Nein
103215,B,Ja
103216,-,Ja
103217,C,Nein
103218,B,Ja
103219,-,Ja
103220,C,Ja
103221,C,Ja
103222,C,Ja
103223,C,Ja
103224,-,Ja
103225,A,Nein
103226,-,Ja
103227,B,Nein
103230,-,Ja
103231,-,Ja
103232,A,Nein
103233,-,Ja
103234,A,Ja
103235,-,Ja
103236,-,Ja
103238,-,Ja
103239,-,Ja
103240,C,Ja
103241,-,Ja
103242,-,Ja
103243,C,Nein
103244,B,Nein
103245,A,Ja
103246,-,Ja
103247,-,Ja
103248,-,Ja
103249,-,Ja
103250,C,Ja
103251,A,Nein
103252,A,Nein
103253,A,Nein
103255,C,Nein
103256,A,Nein
103258,C,Ja
103259,C,Ja
103260,C,Ja
103262,C,Ja
103264,C,Ja
103265,B,Ja
103266,C,Ja
103267,C,Ja
103268,C,Ja
103269,C,Ja
103270,C,Nein
103271,A,Nein
103272,A,Ja
103273,-,Ja
103274,C,Ja
103275,B,Nein
103278,C,Ja
103280,C,Ja
103281,A,Ja
103282,-,Ja
103285,A,Ja
103286,-,Ja
103287,-,Ja
103288,C,Nein
103289,-,Ja
103290,A,Ja
103294,-,Ja
103295,C,Ja
103296,C,Nein
103297,C,Ja
103298,-,Ja
103302,C,Nein
103303,C,Ja
103304,-,Ja
103305,C,Nein
103306,C,Ja
103308,C,Ja
103309,-,Ja
103311,-,Ja
103312,C,Ja
103313,B,Nein
103314,A,Nein
103315,C,Ja
103316,-,Ja
103317,C,Nein
103318,-,Ja
103319,C,Nein
103321,B,Nein
103323,-,Ja
103324,A,Nein
103325,-,Ja
103326,C,Nein
103327,A,Ja
103328,B,Ja
103329,-,Ja
103330,-,Ja
103331,-,Ja
103332,C,Nein
103334,C,Ja
103335,C,Ja
103336,A,Ja
103337,C,Ja
103338,C,Ja
103340,-,Ja
103343,C,Ja
103344,C,Ja
103345,B,Ja
103347,-,Ja
103348,B,Nein
103350,B,Ja
103352,C,Ja
103354,C,Ja
103355,-,Ja
103356,-,Ja
103357,-,Ja
103358,A,Nein
103359,C,Nein
103361,-,Ja
103362,C,Nein
103366,-,Ja
103367,A,Ja
103369,-,Ja
103370,B,Nein
103371,B,Nein
103372,-,Ja
103373,B,Nein
103374,-,Ja
103375,-,Ja
103376,-,Ja
103377,C,Ja
103378,C,Nein
103379,-,Ja
103380,B,Nein
103381,A,Ja
103382,-,Ja
103384,C,Ja
103386,-,Ja
103387,C,Ja
103388,C,Nein
103389,-,Ja
103390,B,Nein
103391,C,Ja
103393,C,Ja
103394,B,Ja
103395,B,Nein
103396,C,Ja
103397,C,Ja
103398,-,Ja
103400,C,Ja
103401,B,Nein
103404,A,Nein
103406,C,Nein
103407,-,Ja
103408,B,Nein
103409,C,Ja
103410,-,Ja
103411,C,Ja
103412,C,Nein
103413,B,Nein
103415,-,Ja
103416,C,Ja
103417,C,Ja
103418,-,Ja
103419,B,Nein
103420,C,Nein
103451,-,Ja
103473,-,Ja
103506,-,Ja
103517,C,Ja
103579,A,Nein
103584,C,Ja
103586,B,Nein
103590,-,Ja
103602,A,Nein
103607,C,Ja
103624,B,Ja
103661,C,Nein
103680,C,Ja
103702,C,Ja
103727,B,Ja
103747,C,Ja
103760,-,Ja
103766,B,Nein
103773,C,Ja
103779,-,Ja
103790,C,Ja
103810,C,Ja
103831,B,Nein
103834,C,Ja
103858,C,Ja
103860,-,Ja
103867,A,Nein
103868,C,Ja
103897,C,Ja
103926,-,Ja
103936,-,Ja
103945,C,Ja
103948,A,Ja
103968,-,Ja
103975,B,Nein
104001,C,Ja
104045,C,Ja
104049,A,Nein
104051,B,Nein
104052,A,Nein
104055,B,Nein
104056,B,Ja
104058,B,Nein
104062,B,Ja
104063,B,Ja
104092,C,Ja
104100,C,Nein
104104,C,Ja
104105,C,Ja
104107,-,Ja
104112,-,Ja
104121,C,Ja
104155,C,Ja
104163,-,Ja
104164,C,Ja
104165,C,Ja
104181,C,Ja
104182,C,Ja
104185,C,Ja
104197,C,Ja
104203,C,Nein
104217,C,Ja
104221,C,Ja
104229,C,Ja
104236,C,Ja
104260,-,Ja
104261,-,Ja
104264,C,Ja
104286,-,Ja
104296,A,Ja
104302,B,Nein
104306,B,Ja
104315,C,Ja
104322,C,Ja
104348,B,Nein
104356,B,Ja
104358,-,Ja
104362,C,Ja
104368,A,Nein
104383,C,Ja
104384,C,Ja
104386,B,Ja
104388,C,Ja
104404,A,Nein
104411,C,Ja
104428,C,Ja
104442,C,Nein
104444,B,Ja
104445,C,Nein
104450,C,Ja
104456,C,Ja
104461,B,Ja
104471,-,Ja
104474,A,Nein
104479,B,Nein
104484,C,Ja
104490,C,Ja
104505,C,Nein
104509,C,Ja
104510,B,Ja
104519,C,Nein
104531,C,Ja
104534,C,Nein
104536,C,Nein
104545,B,Ja
104551,C,Ja
104554,C,Ja
104555,C,Ja
104562,A,Ja
104565,B,Ja
104571,C,Ja
104587,-,Ja
104600,B,Ja
104603,-,Ja
104604,C,Ja
104605,C,Ja
104620,C,Ja
104625,-,Ja
104627,A,Nein
104630,C,Ja
104632,A,Nein
104633,C,Ja
104636,-,Ja
104647,-,Ja
104651,B,Ja
104655,B,Ja
104661,C,Ja
104662,C,Ja
104666,-,Ja
104668,C,Ja
104673,C,Ja
104678,C,Ja
104681,B,Ja
104682,C,Ja
104684,C,Ja
104688,-,Ja
104689,C,Ja
104707,B,Ja
104710,B,Ja
104715,C,Ja
104724,B,Nein
104725,B,Ja
104732,C,Ja
104737,-,Ja
104743,A,Nein
104746,-,Ja
104747,C,Ja
104751,A,Ja
104756,C,Ja
104771,-,Ja
104772,C,Ja
104774,A,Ja
104781,C,Nein
104784,C,Ja
104788,B,Nein
104790,C,Ja
104796,C,Ja
104797,C,Ja
104798,-,Ja
104799,B,Nein
104800,-,Ja
104805,C,Ja
104810,C,Ja
104816,B,Ja
104823,B,Ja
104826,C,Ja
104828,B,Ja
104829,B,Ja
104839,B,Ja
104842,-,Ja
104843,C,Ja
104848,-,Ja
104850,C,Ja
104851,C,Ja
104852,C,Ja
104862,C,Ja
104867,C,Ja
104873,C,Ja
104877,C,Ja
104878,C,Ja
104879,C,Ja
104882,B,Ja
104887,B,Ja
104898,C,Ja
104903,-,Ja
104904,C,Nein
104910,C,Ja
104917,C,Ja
104920,B,Ja
104921,C,Ja
104924,C,Ja
104925,C,Ja
104926,C,Ja
104929,C,Ja
104938,-,Ja
104939,C,Ja
